,UTC
0,09:42:13.281
1,09:42:50.867
2,09:43:28.651
3,09:44:06.181
4,09:44:43.711
5,09:45:21.396
6,09:45:59.071
7,09:46:36.730
8,09:47:14.445
9,09:50:12.730
10,09:50:50.519
11,09:51:28.299
12,09:52:05.972
13,09:52:43.602
14,09:53:21.320
15,09:53:58.959
16,09:54:36.597
17,09:55:14.198
18,09:55:51.987
19,09:56:48.511
20,09:57:26.297
21,09:58:03.980
22,09:58:41.607
23,09:59:19.174
24,09:59:56.922
25,10:00:34.713
26,10:01:12.500
27,10:01:50.290
28,10:02:28.146
29,10:03:06.367
30,10:03:44.044
31,10:04:21.635
32,10:04:59.247
33,10:05:36.966
34,10:06:14.609
35,10:06:52.365
36,10:07:30.046
37,10:08:07.825
38,10:08:45.310
39,10:09:46.236
40,10:10:23.919
41,10:11:01.618
42,10:11:39.497
43,10:12:18.206
44,10:12:55.991
45,10:13:34.289
46,10:14:11.971
47,10:14:49.758
48,10:15:27.543
49,10:16:05.432
50,10:16:42.905
51,10:17:20.696
52,10:17:58.280
53,10:18:35.985
54,10:19:13.745
55,10:19:51.431
56,10:20:29.306
57,10:21:06.940
58,10:21:44.684
59,10:25:37.539
60,10:26:15.307
61,10:26:52.846
62,10:27:30.497
63,10:28:08.142
64,10:28:45.957
65,10:29:23.627
66,10:30:01.322
67,10:30:38.966
68,10:31:16.699
69,10:31:54.563
70,10:32:32.166
71,10:33:09.501
72,10:33:47.116
73,10:34:24.539
74,10:35:02.174
75,10:35:39.741
76,10:36:17.436
77,10:36:54.900
78,10:37:32.701
79,10:38:15.093
80,10:38:52.871
81,10:39:30.452
82,10:40:07.892
83,10:40:45.467
84,10:41:23.012
85,10:42:00.551
86,10:42:38.153
87,10:43:15.722
88,10:43:53.322
89,10:44:31.005
90,10:45:08.786
91,10:45:46.448
92,10:46:23.951
93,10:47:01.423
94,10:47:39.133
95,10:48:16.561
96,10:48:53.992
97,10:49:31.849
98,10:50:09.450
99,10:50:56.741
100,10:51:34.424
101,10:52:11.802
102,10:52:49.383
103,10:53:26.976
104,10:54:04.483
105,10:54:42.034
106,10:55:19.683
107,10:55:57.344
108,10:56:35.010
109,10:57:12.687
110,10:57:50.484
111,10:58:28.123
112,10:59:05.683
113,10:59:43.389
114,11:00:21.312
115,11:00:58.946
116,11:01:37.079
117,11:02:14.605
118,11:02:52.129
119,11:04:10.337
120,11:04:47.760
121,11:05:25.313
122,11:06:02.941
123,11:06:40.469
124,11:07:18.146
125,11:07:55.727
126,11:08:33.311
127,11:09:10.818
128,11:09:48.423
129,11:10:26.153
130,11:11:03.940
131,11:11:41.522
132,11:12:18.975
133,11:12:56.745
134,11:13:34.262
135,11:14:12.049
136,11:14:49.421
137,11:15:27.251
138,11:16:05.093
139,11:16:45.785
140,11:17:23.383
141,11:18:01.120
142,11:18:38.433
143,11:19:15.907
144,11:19:53.473
145,11:20:31.156
146,11:21:08.922
147,11:21:46.503
148,11:22:24.289
149,11:23:01.975
150,11:23:39.652
151,11:24:17.189
152,11:24:54.914
153,11:25:32.602
154,11:26:10.291
155,11:26:47.967
156,11:27:25.632
157,11:28:03.182
158,11:28:40.824
159,11:29:33.132
160,11:30:10.827
161,11:30:48.606
162,11:31:26.297
163,11:32:03.987
164,11:32:41.661
165,11:33:19.151
166,11:33:56.916
167,11:34:34.608
168,11:35:12.293
169,11:35:49.975
170,11:36:27.761
171,11:37:05.444
172,11:37:42.968
173,11:38:20.389
174,11:38:57.980
175,11:39:35.618
176,11:40:13.343
177,11:40:50.923
178,11:41:28.500
179,11:42:49.908
180,11:43:27.688
181,11:44:05.362
182,11:44:42.893
183,11:45:20.527
184,11:45:58.000
185,11:46:35.579
186,11:47:13.175
187,11:47:50.642
188,11:48:28.099
189,11:49:05.740
190,11:49:43.263
191,11:50:20.939
192,11:50:58.525
193,11:51:36.304
194,11:52:13.893
195,11:52:51.986
196,11:53:30.076
197,11:54:07.655
198,11:54:45.441
199,11:59:13.514
200,12:00:15.257
201,12:00:53.263
202,12:01:30.854
203,12:02:08.595
204,12:02:46.088
205,12:03:23.565
206,12:04:01.253
207,12:04:38.781
208,12:05:16.336
209,12:05:53.785
210,12:06:31.364
211,12:07:08.917
212,12:07:46.482
213,12:08:24.208
214,12:09:01.789
215,12:09:39.475
216,12:10:17.005
217,12:10:54.833
218,12:11:32.815
219,12:12:25.668
220,12:13:03.199
221,12:13:40.849
222,12:14:18.503
223,12:14:56.041
224,12:15:33.777
225,12:16:11.362
226,12:16:48.849
227,12:17:26.739
228,12:18:04.221
229,12:18:42.013
230,12:19:19.803
231,12:19:57.489
232,12:20:35.006
233,12:21:12.593
234,12:21:50.136
235,12:22:28.107
236,12:23:05.591
237,12:23:43.206
238,12:24:20.976
239,12:25:52.741
240,12:26:30.521
241,12:27:08.058
242,12:27:45.681
243,12:28:23.577
244,12:29:01.001
245,12:29:38.742
246,12:30:16.266
247,12:30:53.897
248,12:31:31.486
249,12:32:09.175
250,12:32:46.851
251,12:33:24.531
252,12:34:02.113
253,12:34:39.701
254,12:35:17.276
255,12:35:54.860
256,12:36:32.541
257,12:37:10.124
258,12:37:47.718
259,12:38:57.127
260,12:39:34.725
261,12:40:12.407
262,12:40:50.290
263,12:41:27.972
264,12:42:05.658
265,12:42:43.437
266,12:43:21.082
267,12:43:58.872
268,12:44:36.340
269,12:45:13.967
270,12:45:51.564
271,12:46:29.177
272,12:47:06.955
273,12:47:44.701
274,12:48:22.295
275,12:49:00.171
276,12:49:37.749
277,12:50:15.381
278,12:50:53.018
279,12:51:39.144
280,12:52:16.680
281,12:52:54.161
282,12:53:31.560
283,12:54:09.188
284,12:54:46.799
285,12:55:24.579
286,12:56:02.167
287,12:56:39.684
288,12:57:17.424
289,12:57:55.191
290,12:58:32.896
291,12:59:10.481
292,12:59:48.157
293,13:00:25.648
294,13:01:03.238
295,13:01:40.902
296,13:02:18.597
297,13:02:56.268
298,13:03:34.161
299,13:05:54.753
300,13:06:32.338
301,13:07:09.983
302,13:07:47.501
303,13:08:25.051
304,13:09:02.500
305,13:09:40.242
306,13:10:18.024
307,13:10:55.643
308,13:11:33.291
309,13:12:11.025
310,13:12:48.533
311,13:13:25.925
312,13:14:03.613
313,13:14:41.139
314,13:15:18.879
315,13:15:56.556
316,13:16:34.141
317,13:17:11.739
318,13:17:49.508
319,13:18:38.352
320,13:19:16.040
321,13:19:53.917
322,13:20:31.708
323,13:21:10.125
324,13:21:48.099
