Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RA_OBJ	DEC_OBJ	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
aligned_665Sabine_001_out.fits	1	0	59525.90405903943	2459525.9040590394	2459525.9038854283	2459525.9081113148	2459525.908863519	-1	-78.00409968188762	-14.80951678	30	0.0186300180735001	0.1214267075710287	4.584200077626419	10	16	20	426.8666388458328	533.0846939706285	427.3666388458328	491.41530602937155	1.987512493292591	33.359810214718074	20413.891750721672	314.15926535897927	238.78746649770628	85.48979580097753	878	64.9794355974044	76.49636803874093	413	4.584200077626419	6.473053836166155	6.282244283549924	6.663863388782385	71.18405800753207	0.9944678766136683
aligned_665Sabine_002_out.fits	2	0	59525.90449399315	2459525.904493993	2459525.904320382	2459525.9085462373	2459525.9092984414	-1	-77.84709568942009	-14.80951678	30	0.0186300179899511	0.1214267070207676	4.650397784600422	10	16	20	427.1184959724528	533.024318831375	427.6184959724528	491.475681168625	1.9875123603731895	33.35981313012847	20665.14677502905	314.1592653589793	223.16649282889182	92.59968426744787	864	65.77920517930826	49.48826291079812	426	4.650397784600422	6.310076890284127	6.090011100287802	6.530142680280452	297.12317858903094	0.9857843639152984
aligned_665Sabine_003_out.fits	3	0	59525.90492901625	2459525.9049290163	2459525.904755405	2459525.908981229	2459525.9097334333	-1	-77.69006644921194	-14.80951678	30	0.0186300179064433	0.1214267064707795	4.9519527807374395	10	16	20	427.69459996387934	532.9629717653769	428.19459996387934	491.5370282346231	1.987502102213367	33.35976008315874	21028.33453222589	314.1592653589793	226.58013355598138	92.80749464749697	768	66.93526771587499	48.10335917312661	387	4.9519527807374395	7.031876833062091	6.7650494894387	7.298704176685482	291.14603043248076	0.9895048516102878
aligned_665Sabine_004_out.fits	4	0	59525.90536633087	2459525.905366331	2459525.90519272	2459525.9094185126	2459525.9101707162	-1	-77.53220984839032	-14.80951678	30	0.0186300178225506	0.1214267059182578	4.627935304650255	10	16	20	427.85211140944773	532.0468225884953	428.35211140944773	492.4531774115047	1.9875011859833636	33.3597530563379	20477.361174632635	314.1592653589795	233.65865557178168	87.63793117153256	834	65.18146504841684	55.97222222222222	360	4.627935304650255	6.534755438398645	6.589930322932585	6.479580553864705	322.57539385715603	0.9958260878105449
aligned_665Sabine_005_out.fits	5	0	59525.905800705776	2459525.905800706	2459525.9056270947	2459525.9098528563	2459525.91060506	-1	-77.37541420471706	-15.23319095	30	0.0186300177392764	0.1214267053698108	4.7207334427394105	10	16	20	428.6080738595221	532.0995232419547	429.1080738595221	492.40047675804533	1.9874910133631287	33.35971649342884	20633.80682281686	314.15926535897916	232.2457446259614	88.84471427473606	826	65.67944701309162	57.43421052631579	380	4.7207334427394105	6.6771717195305005	6.610670516760359	6.743672922300642	291.3159454135705	0.9992671377356749
aligned_665Sabine_006_out.fits	6	0	59525.906235081144	2459525.906235081	2459525.90606147	2459525.9102872005	2459525.911039404	-1	-77.21861821278469	-14.80951678	30	0.0186300176560564	0.1214267048217223	4.839854849374517	10	16	20	428.6676206525845	531.7819297011227	429.1676206525845	492.71807029887725	1.9874863043057076	33.35963711429972	20283.194934695006	314.15926535897916	231.69728357341987	87.54178996780382	839	64.5634147110641	58.675257731958766	388	4.839854849374517	6.365714590335856	6.007772022438721	6.723657158232991	278.2774697327795	0.9863219679354794
aligned_665Sabine_007_out.fits	7	0	59525.90667124977	2459525.90667125	2459525.9064976387	2459525.910723338	2459525.9114755415	-1	-77.06117473452116	-14.80951678	30	0.0186300175725475	0.1214267042717323	4.642257948469248	10	16	20	429.1981419898099	532.2336541810467	429.6981419898099	492.26634581895325	1.9874830173302829	33.35957671728709	20626.155068059415	314.15926535897944	227.70054052954603	90.58456787186678	835	65.65509072123207	57.628235294117644	425	4.642257948469248	6.927804974018507	6.782460756598003	7.073149191439009	289.4074891939532	0.9971025702004961
aligned_665Sabine_008_out.fits	8	0	59525.90710729174	2459525.9071072917	2459525.9069336806	2459525.911159348	2459525.911911552	-1	-76.90377680791329	-14.80951678	30	0.0186300174891176	0.1214267037222636	4.4526900295651	10	16	20	429.2582762392769	531.7492636663525	429.7582762392769	492.7507363336475	1.9874726383922277	33.359567244174556	20612.514468112306	314.1592653589793	233.05417493927644	88.44516290464658	972	65.61167134306567	58.087765957446805	376	4.4526900295651	6.31600642248052	6.186443814938239	6.445569030022799	279.10650629578055	0.9981361454103943
aligned_665Sabine_009_out.fits	9	0	59525.9075431712	2459525.907543171	2459525.90736956	2459525.9115951965	2459525.9123474	-1	-76.7464373820344	-14.80951678	30	0.0186300174057734	0.121426703173361	4.436807878788937	10	16	20	429.65508292566517	531.6805522775549	430.15508292566517	492.81944772244515	1.9874658171283806	33.359551506038365	20505.8221090252	314.1592653589794	228.27452202112903	89.82965741190857	888	65.2720590162887	54.6284289276808	401	4.436807878788937	6.5581218624972974	6.563804660873157	6.552439064121438	317.94398349870795	0.9997145902985791
aligned_665Sabine_010_out.fits	10	0	59525.907979687676	2459525.9079796877	2459525.9078060766	2459525.9120316817	2459525.9127838854	-1	-76.5888678522117	-14.80951678	30	0.0186300173223621	0.1214267026240177	5.037695543935281	10	16	20	430.5341856586993	531.5171390271927	431.0341856586993	492.9828609728073	1.987461594278289	33.359440298018626	20371.75860662658	314.1592653589794	230.1671553439445	88.50853883206992	742	64.84532163438963	55	384	5.037695543935281	6.995357971892547	6.804437728436153	7.18627821534894	291.3220905632612	0.9945015094804358
