designation,ra,dec,clon,clat,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
Gaia DR2 2674118519063015808,324.91365856748195,-2.9228921326568744,21h39m39.28s,-02d55m22.41s,96,309.3877039276343,1.6381645207439897,188.862411499,19.4621086121,10,141.25393704160294,10.171201293914786,13.887635231,19.9763870239,10,247.65002541003335,20.81830659660611,11.895781517,18.7773246765,1.257011652,0,1.1990623474,0.5142784119,0.6847839355,,,
Gaia DR2 2674071583660392448,324.9228654200537,-2.9332718109327893,21h39m41.49s,-02d55m59.78s,105,284.0255261863172,1.4337425603776868,198.1007843018,19.5549716949,9,91.95500412793882,8.432225408983218,10.9051885605,20.4424495697,9,288.1436292181576,22.552186023509723,12.7767496109,18.6128978729,1.338255167,0,1.8295516968,0.8874778748,0.942073822,,,
Gaia DR2 2674071583660395904,324.92760472108563,-2.9302885877937723,21h39m42.63s,-02d55m49.04s,111,3176.836228721359,3.065517973513273,1036.3129882812,16.9333782196,10,1107.324547414156,9.997861378588839,110.7561416626,17.7407016754,10,3007.315129227429,16.65936898826811,180.5179443359,16.0664730072,1.2952004671,0,1.6742286682,0.8073234558,0.8669052124,0.0562999994,0.0208999999,0.2680999935
Gaia DR2 2674071583660835968,324.9292734148964,-2.929161208105785,21h39m43.03s,-02d55m44.98s,114,346.3425729482571,1.3252517634901297,261.3409729004,19.3396015167,11,80.2021533275916,8.109519471595334,9.8898773193,20.5909233093,10,382.315162510726,11.915076237055132,32.0866737366,18.3058662415,1.3354330063,0,2.2850570679,1.2513217926,1.0337352753,,,
Gaia DR2 2674118523357462528,324.9109875898157,-2.9232288940446893,21h39m38.64s,-02d55m23.62s,98,125.57682963805927,1.3014242110311325,96.4918518066,20.4410915375,10,43.94797507111199,9.019442915973826,4.8725819588,21.2440414429,10,114.40306348492447,19.65919601130833,5.8193154335,19.6158256531,1.2609893084,0,1.6282157898,0.8029499054,0.8252658844,,,
Gaia DR2 2674118553422769280,324.9203095189409,-2.912722842904761,21h39m40.87s,-02d54m45.80s,115,222.80263831833446,1.1988555732060457,185.8460998535,19.8185653687,9,113.29009495117616,9.524102623581786,11.8950939178,20.2159080505,8,137.57370851120675,15.463910118853546,8.896437645,19.4155807495,1.1259462833,0,0.800327301,0.3973426819,0.4029846191,,,
Gaia DR2 2674071514940917632,324.9333997396252,-2.931374406295016,21h39m44.02s,-02d55m52.95s,111,1305.5120966301138,2.431919377938163,536.8237304688,17.8989143372,11,686.5292344013268,15.519582965564771,44.2363204956,18.2597408295,11,887.1349634180847,16.16820618083375,54.869102478,17.3919448853,1.2053999901,0,0.8677959442,0.3608264923,0.5069694519,,,
Gaia DR2 2674071514940905728,324.9265208170795,-2.9410884561680577,21h39m42.36s,-02d56m27.92s,120,364.26092077663526,1.611311347060888,226.0648956299,19.2848339081,11,139.19249317012674,9.568790409861148,14.5465087891,19.9923477173,11,335.0068525411457,34.3422599418897,9.7549448013,18.4492855072,1.3018122911,0,1.5430622101,0.7075138092,0.8355484009,,,
Gaia DR2 2674118415983792768,324.90287178023004,-2.9282262543044237,21h39m36.69s,-02d55m41.61s,111,1396.563277430609,2.8437584673203142,491.0977172852,17.8257141113,11,261.2295441345579,5.666120811737186,46.1037712097,19.3088321686,12,1778.933798649604,18.60006005979049,95.6412963867,16.6365203857,1.4608455896,0,2.6723117828,1.4831180573,1.1891937256,,,
Gaia DR2 2674071549300653824,324.9387939381754,-2.9324300323735817,21h39m45.31s,-02d55m56.75s,95,153.27225091794207,1.2897021766083658,118.843132019,20.2247066498,8,69.41580368547896,13.371622411378958,5.191277504,20.7477416992,9,118.67336818580904,16.626006940682785,7.1378154755,19.5760364532,1.2271573544,0,1.171705246,0.5230350494,0.6486701965,,,
Gaia DR2 2674118553423199616,324.92311300047334,-2.9039721137353145,21h39m41.55s,-02d54m14.30s,89,126.16928169679072,1.4665862130238378,86.0292282104,20.4359817505,3,32.37107220654337,12.931328730520917,2.503305912,21.5759963989,7,127.25065722355454,10.647544544903079,11.9511737823,19.5002708435,1.2651393414,1,2.0757255554,1.1400146484,0.935710907,,,
Gaia DR2 2674118622142675200,324.9128560973795,-2.905287398950444,21h39m39.09s,-02d54m19.03s,113,162.07061155344434,1.0604480078332352,152.8322143555,20.1641044617,9,34.13363565016475,9.84936635530038,3.4655666351,21.5184326172,9,164.05691406679145,11.512106589867273,14.2508163452,19.2244338989,1.2228654623,0,2.2939987183,1.3543281555,0.9396705627,,,
Gaia DR2 2674073095488903680,324.9410767617727,-2.9168842745681496,21h39m45.86s,-02d55m00.78s,106,5261.2166846541495,4.4501041136942625,1182.2681884766,16.3856506348,11,2993.9957173481107,28.656681114929704,104.4781036377,16.6607608795,12,3396.9404448107807,10.52926542672159,322.618927002,15.9342002869,1.214725852,0,0.7265605927,0.2751102448,0.4514503479,0.1322000027,0.0560000017,0.1668000072
Gaia DR2 2674071549300668416,324.94258075444424,-2.9216063865087634,21h39m46.22s,-02d55m17.78s,105,137.78364911062653,1.056367201325765,130.4315795898,20.3403720856,9,41.05799239085367,7.024549129659073,5.8449292183,21.3178939819,11,111.0938244804342,13.489663938019028,8.2354774475,19.6476955414,1.104280591,0,1.6701984406,0.9775218964,0.6926765442,,,
Gaia DR2 2674071549300648960,324.94051087290563,-2.9364637698519003,21h39m45.72s,-02d56m11.27s,111,180.3160095159037,1.1156790524661286,161.6199645996,20.0482807159,10,78.3390379549203,6.996675434952433,11.1966085434,20.6164417267,10,116.19237899675493,10.919458399284213,10.6408557892,19.5989761353,1.0788360834,0,1.0174655914,0.5681610107,0.4493045807,,,
Gaia DR2 2674071416156777728,324.9105283396802,-2.948613239498428,21h39m38.53s,-02d56m55.01s,106,593.3709325261414,1.7905606954827629,331.3883361816,18.7550506592,9,183.07329618084924,10.446336561646973,17.5251197815,19.6948261261,10,645.8383834702945,27.306281745502936,23.6516418457,17.7366104126,1.3969535828,0,1.9582157135,0.9397754669,1.0184402466,,,
Gaia DR2 2674071308782920576,324.93826750810234,-2.9446844504564402,21h39m45.18s,-02d56m40.86s,114,1254.6189628570219,1.993044032157063,629.498840332,17.9420852661,11,584.5338249161697,16.571823103075847,35.2727546692,18.4343643188,10,993.61768114671,25.473621822534373,39.0057487488,17.2688713074,1.2578731775,0,1.1654930115,0.4922790527,0.6732139587,,,
