,UTC
0,06:12:43
1,06:14:00
2,06:15:17
3,06:16:33
4,06:17:50
5,06:19:07
6,06:20:23
7,06:21:40
8,06:22:57
9,06:24:13
10,06:25:30
11,06:26:47
12,06:28:03
13,06:29:20
14,06:30:37
15,06:31:53
16,06:33:10
17,06:34:27
18,06:35:43
19,06:37:00
20,06:39:24
21,06:40:41
22,06:41:57
23,06:43:14
24,06:44:31
25,06:45:47
26,06:47:04
27,06:48:21
28,06:49:37
29,06:50:54
30,06:52:10
31,06:53:27
32,06:54:44
33,06:56:00
34,06:57:17
35,06:58:34
36,06:59:50
37,07:01:07
38,07:02:24
39,07:03:40
40,07:05:17
41,07:06:34
42,07:07:50
43,07:09:07
44,07:10:24
45,07:11:40
46,07:12:57
47,07:14:13
48,07:15:30
49,07:16:47
50,07:18:03
51,07:19:20
52,07:20:37
53,07:21:53
54,07:23:10
55,07:24:26
56,07:25:43
57,07:27:00
58,07:28:16
59,07:29:33
60,07:31:15
61,07:32:32
62,07:33:49
63,07:35:05
64,07:36:22
65,07:37:39
66,07:38:55
67,07:40:12
68,07:41:29
69,07:42:45
70,07:44:09
71,07:45:26
72,07:46:42
73,07:47:59
74,07:49:15
75,07:50:32
76,07:51:49
77,07:53:05
78,07:54:22
79,07:55:38
80,07:57:55
81,07:59:11
82,08:00:31
83,08:01:47
84,09:09:14
85,09:10:31
86,09:11:47
87,09:13:04
88,09:14:21
89,09:15:37
90,09:16:54
91,09:18:10
92,09:19:27
93,09:20:44
94,09:22:36
95,09:23:52
96,09:25:09
97,09:26:26
98,09:27:42
99,09:28:59
100,09:30:16
101,09:31:32
102,09:32:49
103,09:34:05
104,09:35:22
105,09:36:39
106,09:37:55
107,09:39:12
108,09:40:29
109,09:42:07
110,09:43:23
111,09:44:40
112,09:45:56
113,09:47:13
114,09:48:30
115,09:49:46
116,09:51:03
117,09:52:20
118,09:53:36
119,09:54:53
120,09:56:09
121,09:57:26
122,09:58:43
123,09:59:59
124,10:03:39
125,10:04:56
126,10:06:12
127,10:07:29
128,10:08:46
129,10:10:02
130,10:11:19
131,10:12:36
132,10:13:52
133,10:15:09
134,10:16:25
135,10:17:42
136,10:18:59
137,10:20:15
138,10:21:32
139,10:23:05
140,10:24:21
141,10:25:38
142,10:26:55
143,10:28:11
144,10:29:28
145,10:30:45
146,10:32:01
147,10:33:18
148,10:34:34
149,10:35:51
150,10:37:08
151,10:38:24
152,10:39:41
153,10:40:58
154,10:42:33
155,10:43:50
156,10:45:06
157,10:46:23
158,10:47:40
159,10:48:56
160,10:50:13
161,10:51:29
162,10:52:46
163,10:54:03
164,10:55:19
165,10:56:36
166,10:57:53
167,10:59:09
168,11:00:26
