Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
PMO20200815S-0016.fit	1	0	59077.75917824078	2459077.759178241	NaN	NaN	0	1.65572398665	NaN	-18.83121075	60	NaN	NaN	3.3108427530110722	10	14	18	1494.6988364751367	1766.4834656292771	1495.1988364751367	1290.0165343707229	21.66276911270253	-2.9199791698354076	86634.14498978748	314.1592653589795	599.7287253411213	144.45555353465957	8269	275.7650483132926	1066.0504201680671	357	3.3108427530110722	5.428786917975433	5.343256914004804	5.514316921946062	279.5848869097168	0.9988876891977633
PMO20200815S-0017.fit	2	0	59077.76006944431	2459077.7600694443	NaN	NaN	0	1.65060630933	NaN	-18.840640500000003	60	NaN	NaN	3.5934942757533803	10	14	18	1496.2180500324612	1765.8757802063474	1496.7180500324612	1290.6242197936526	21.662747038729563	-2.9201311938444303	86853.47660434688	314.15926535897927	607.8532151839626	142.88560862191258	7615	276.4632025259619	1065.5641791044777	335	3.5934942757533803	5.906842201155875	5.701347997744916	6.112336404566835	295.1490507682278	0.9881647597307798
PMO20200815S-0018.fit	3	0	59077.7609606483	2459077.7609606483	NaN	NaN	0	1.64557437709	NaN	-18.846927	60	NaN	NaN	4.443229699174865	10	14	18	1497.7372635897857	1765.5719374948824	1498.2372635897857	1290.9280625051176	21.66272598407163	-2.9201681125117713	85642.45032214903	314.15926535897927	598.6312483538516	143.0637818484305	6941	272.60838614544207	1065.941504178273	359	4.443229699174865	6.123026264504919	6.130977354713068	6.115075174296769	315.4918389199795	0.9771144263391285
PMO20200815S-0019.fit	4	0	59077.76184027782	2459077.761840278	NaN	NaN	0	1.64069080688	NaN	-18.8595	60	NaN	NaN	3.8688838642103334	10	14	18	1498.3449490127155	1765.8757802063474	1498.8449490127155	1290.6242197936526	21.66271906815939	-2.9200450889357445	84730.1508919893	314.15926535897927	603.2453479740213	140.45719735187777	7195	269.7044468676453	1065.6144927536232	345	3.8688838642103334	5.944211114936948	5.914523106748158	5.973899123125739	308.31074794464587	0.9981364142732041
PMO20200815S-0020.fit	5	0	59077.76273148134	2459077.7627314813	NaN	NaN	0	1.63582599471	NaN	-18.884646	60	NaN	NaN	3.8219973033597503	10	14	18	1499.2564771471102	1765.5719374948824	1499.7564771471102	1290.9280625051176	21.662705416601735	-2.9200429338268665	84048.9248772735	314.1592653589795	607.3229768235067	138.39246675117784	6890	267.5360371155489	1066.11377245509	334	3.8219973033597503	5.861965276686936	5.826977780417169	5.896952772956703	309.4623589341913	0.9961388217802953
PMO20200815S-0021.fit	6	0	59077.763622685336	2459077.7636226853	NaN	NaN	0	1.6310529674	NaN	-18.8909325	60	NaN	NaN	4.170682873082542	10	14	18	1500.168005281505	1765.5719374948824	1500.668005281505	1290.9280625051176	21.662686757885428	-2.9200297179924832	82717.77154014236	314.15926535897927	599.3978035959151	138.00145920438953	6843	263.2988444431952	1066.4689265536724	354	4.170682873082542	5.821443060750319	5.91961632673195	5.7232697947686875	325.57040300480975	0.9912594369727166
PMO20200815S-0022.fit	7	0	59077.76450231485	2459077.764502315	NaN	NaN	0	1.62640335249	NaN	-18.8909325	60	NaN	NaN	3.427923117489266	10	14	18	1500.4718479929697	1765.5719374948824	1500.9718479929697	1290.9280625051176	21.662681356308838	-2.9199640389707753	81974.63899827341	314.15926535897916	596.3954199496756	137.4501484353963	7267	260.9333800949775	1066.8066298342542	362	3.427923117489266	5.5650944646795075	5.583909516194922	5.5462794131640925	332.20811318112624	0.9998568766506262
PMO20200815S-0023.fit	8	0	59077.76539351838	2459077.7653935184	NaN	NaN	0	1.62178189939	NaN	-18.894075750000003	60	NaN	NaN	3.07270399086937	10	14	18	1500.7756907044347	1765.2680947834174	1501.2756907044347	1291.2319052165826	21.66267579869211	-2.9199641880556064	82199.9294425341	314.15926535897927	603.0721350054871	136.3019855689174	8648	261.6505018516866	1065.7492711370262	343	3.07270399086937	5.138493787064672	5.108112629809243	5.168874944320099	302.55676570799153	0.9992104664991915
PMO20200815S-0024.fit	9	0	59077.76628472237	2459077.7662847224	NaN	NaN	0	1.61723990754	NaN	-18.906648750000002	60	NaN	NaN	3.5786357364896006	10	14	18	1501.0795334158997	1765.5719374948824	1501.5795334158997	1290.9280625051176	21.662673597135104	-2.9197867401266233	81192.29111315368	314.1592653589793	606.6066061763479	133.84669782107534	7265	258.44308943229146	1065.9249249249249	333	3.5786357364896006	5.739833607868036	5.807101385531444	5.6725658302046265	324.9796696097022	0.995286447773409
PMO20200815S-0025.fit	10	0	59077.767164351884	2459077.767164352	NaN	NaN	0	1.61283388149	NaN	-18.906648750000002	60	NaN	NaN	5.7502717792534765	10	14	18	1501.3833761273645	1765.8757802063474	1501.8833761273645	1290.6242197936526	21.662667704860677	-2.9196634884142205	81114.65607157932	314.15926535897955	600.1357483897307	135.16051374913783	7311	258.1959694198172	1066.0457142857142	350	5.7502717792534765	6.238321246813561	6.349026305350805	6.127616188276316	320.26406611028193	0.9622930021728274
